                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.71096,                 2.8933,                0.98179,                0.39982,                0.87366,                0.57102,                0.51037,                0.53564,                   1.78,                0.81968,             0.00036786,             0.00036786,             0.00036786
                      2,                0.66054,                 1.7599,                0.96987,                0.71811,                0.92011,                0.87533,                0.77049,                0.55204,                 1.3209,                 0.8861,             0.00071384,             0.00071384,             0.00071384
                      3,                0.65544,                 1.5032,                0.97675,                0.81332,                0.93007,                  0.995,                0.87099,                 0.6118,                  1.159,                0.94739,              0.0010354,              0.0010354,              0.0010354
                      4,                0.70214,                 1.3652,                 1.0351,                0.90214,                      1,                  0.995,                0.89559,                0.50277,                 1.1605,                0.91242,               0.001001,               0.001001,               0.001001
                      5,                0.63428,                 1.0984,                0.97273,                0.91738,                0.98339,                  0.995,                0.85768,                0.57615,                0.90224,                0.86823,               0.001001,               0.001001,               0.001001
                      6,                0.61086,                 1.0146,                0.94954,                0.97487,                0.98136,                  0.995,                0.87823,                0.49993,                0.76374,                0.86078,             0.00096435,             0.00096435,             0.00096435
                      7,                0.60894,                0.93016,                0.95701,                0.94833,                0.99583,                  0.995,                0.87806,                0.50244,                0.76454,                0.86936,             0.00092769,             0.00092769,             0.00092769
                      8,                0.59566,                0.89896,                0.96599,                0.97482,                0.99397,                  0.995,                0.90107,                 0.4959,                0.65972,                0.87886,             0.00089102,             0.00089102,             0.00089102
                      9,                0.61966,                0.90028,                0.97145,                0.98642,                      1,                  0.995,                 0.8967,                0.52469,                0.64419,                0.90417,             0.00085436,             0.00085436,             0.00085436
                     10,                  0.581,                0.84366,                0.95118,                0.97346,                      1,                  0.995,                0.89934,                 0.4798,                  0.637,                0.89151,              0.0008177,              0.0008177,              0.0008177
                     11,                0.60994,                0.81313,                0.95765,                0.98362,                      1,                  0.995,                0.89907,                0.46353,                0.54954,                0.87254,             0.00078103,             0.00078103,             0.00078103
                     12,                0.58738,                0.72609,                0.94569,                0.97684,                      1,                  0.995,                0.89165,                0.48625,                0.55166,                0.85262,             0.00074437,             0.00074437,             0.00074437
                     13,                 0.5343,                0.68493,                 0.9219,                0.98827,                      1,                  0.995,                0.90698,                0.45393,                0.50957,                0.85478,             0.00070771,             0.00070771,             0.00070771
                     14,                0.57457,                0.68526,                0.93584,                0.97589,                      1,                  0.995,                0.89422,                0.50889,                0.53774,                0.87804,             0.00067104,             0.00067104,             0.00067104
                     15,                0.55076,                0.66406,                0.93773,                0.98233,                      1,                  0.995,                0.90952,                0.46403,                 0.4934,                0.85026,             0.00063438,             0.00063438,             0.00063438
                     16,                0.58583,                0.66309,                0.96097,                0.98508,                      1,                  0.995,                0.89931,                0.48643,                0.47472,                0.86136,             0.00059772,             0.00059772,             0.00059772
                     17,                0.53359,                0.70961,                0.90278,                0.96543,                0.99547,                  0.995,                0.89863,                0.45695,                0.49744,                 0.8527,             0.00056105,             0.00056105,             0.00056105
                     18,                0.53509,                0.61441,                0.90838,                0.98065,                      1,                  0.995,                 0.9267,                0.44952,                0.45016,                0.83316,             0.00052439,             0.00052439,             0.00052439
                     19,                0.49226,                0.59405,                0.91418,                0.98541,                      1,                  0.995,                0.90855,                0.45729,                 0.4178,                 0.8705,             0.00048773,             0.00048773,             0.00048773
                     20,                0.54282,                0.59277,                0.93736,                0.98361,                      1,                  0.995,                0.90862,                0.44949,                0.41594,                0.85951,             0.00045107,             0.00045107,             0.00045107
                     21,                0.44403,                0.59795,                0.87162,                0.98651,                      1,                  0.995,                0.90382,                0.43642,                0.42585,                0.85775,              0.0004144,              0.0004144,              0.0004144
                     22,                0.43782,                0.55511,                0.85638,                0.98666,                      1,                  0.995,                0.89986,                 0.4793,                0.39884,                0.87443,             0.00037774,             0.00037774,             0.00037774
                     23,                0.42025,                0.54688,                0.85328,                0.98713,                      1,                  0.995,                 0.9046,                0.43445,                0.41824,                0.84799,             0.00034108,             0.00034108,             0.00034108
                     24,                0.41427,                0.52993,                0.84973,                0.98789,                      1,                  0.995,                0.90143,                0.45387,                0.40486,                0.86032,             0.00030441,             0.00030441,             0.00030441
                     25,                0.40636,                0.50768,                0.84947,                0.98773,                      1,                  0.995,                0.90702,                0.46869,                0.39434,                0.86887,             0.00026775,             0.00026775,             0.00026775
                     26,                0.39752,                0.48828,                0.84839,                0.98825,                      1,                  0.995,                0.92948,                0.45097,                0.38802,                 0.8622,             0.00023109,             0.00023109,             0.00023109
                     27,                0.39422,                0.48505,                0.84348,                0.98764,                      1,                  0.995,                0.92969,                 0.4254,                0.36372,                0.85188,             0.00019442,             0.00019442,             0.00019442
                     28,                0.38569,                0.47155,                 0.8414,                0.98813,                      1,                  0.995,                 0.9352,                0.42602,                0.35813,                0.84689,             0.00015776,             0.00015776,             0.00015776
                     29,                 0.3776,                0.46515,                0.83489,                0.98937,                      1,                  0.995,                0.92698,                0.43279,                0.34797,                0.85406,              0.0001211,              0.0001211,              0.0001211
                     30,                0.36678,                0.45667,                0.82537,                0.99016,                      1,                  0.995,                0.92798,                0.41778,                0.32967,                0.84892,             8.4436e-05,             8.4436e-05,             8.4436e-05
