                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.71096,                 2.8933,                0.98179,                0.39982,                0.87366,                0.57102,                0.51037,                0.53564,                   1.78,                0.81968,             0.00036786,             0.00036786,             0.00036786
                      2,                0.65598,                  1.759,                0.96671,                0.72429,                 0.9267,                0.86558,                0.76593,                0.54927,                 1.3142,                0.88387,             0.00070166,             0.00070166,             0.00070166
                      3,                0.66109,                 1.4886,                0.97922,                0.78672,                0.95471,                  0.995,                0.87435,                0.60873,                 1.1619,                0.95431,             0.00099879,             0.00099879,             0.00099879
                      4,                0.71378,                  1.415,                 1.0392,                0.92593,                0.96907,                  0.995,                0.90559,                 0.5057,                0.86075,                0.89191,             0.00094602,             0.00094602,             0.00094602
                      5,                0.63307,                 1.0921,                0.96593,                0.91741,                0.96633,                0.99318,                0.87796,                0.50285,                 1.0377,                0.83889,             0.00094602,             0.00094602,             0.00094602
                      6,                0.59945,                0.99848,                0.94451,                0.97671,                0.98543,                  0.995,                 0.8925,                0.50543,                0.72078,                 0.8574,             0.00089102,             0.00089102,             0.00089102
                      7,                 0.6065,                0.93511,                0.96207,                0.96272,                      1,                  0.995,                0.90134,                0.49392,                 0.7968,                0.85855,             0.00083603,             0.00083603,             0.00083603
                      8,                0.58741,                0.88717,                0.95535,                0.92089,                      1,                  0.995,                0.90617,                0.50121,                0.75484,                0.85169,             0.00078103,             0.00078103,             0.00078103
                      9,                0.59416,                0.85331,                0.94896,                0.96964,                0.99919,                  0.995,                0.88672,                0.51254,                0.63674,                0.84944,             0.00072604,             0.00072604,             0.00072604
                     10,                0.55742,                 0.8461,                0.93244,                0.96387,                      1,                  0.995,                0.91008,                0.45265,                0.61605,                0.83442,             0.00067104,             0.00067104,             0.00067104
                     11,                0.47011,                0.82509,                0.87928,                0.98302,                      1,                  0.995,                0.91128,                0.48129,                0.55966,                 0.8471,             0.00061605,             0.00061605,             0.00061605
                     12,                0.46378,                0.77516,                0.87445,                0.98393,                      1,                  0.995,                0.89737,                0.48328,                0.53225,                0.86732,             0.00056105,             0.00056105,             0.00056105
                     13,                0.44817,                0.73168,                0.87157,                0.98718,                      1,                  0.995,                0.90322,                0.43564,                0.51628,                0.85462,             0.00050606,             0.00050606,             0.00050606
                     14,                0.44301,                0.71581,                0.86425,                 0.9778,                      1,                  0.995,                0.90891,                0.47713,                0.50986,                0.86566,             0.00045107,             0.00045107,             0.00045107
                     15,                0.44451,                0.67742,                0.86279,                0.98672,                      1,                  0.995,                0.89285,                0.50573,                0.47113,                  0.845,             0.00039607,             0.00039607,             0.00039607
                     16,                0.44365,                 0.6696,                0.87026,                0.98503,                      1,                  0.995,                 0.9068,                 0.4364,                0.45653,                0.83376,             0.00034108,             0.00034108,             0.00034108
                     17,                0.42827,                0.63433,                0.85443,                0.97989,                      1,                  0.995,                0.92129,                0.47147,                0.44128,                 0.8456,             0.00028608,             0.00028608,             0.00028608
                     18,                0.41816,                0.61987,                0.85107,                0.98799,                      1,                  0.995,                0.89387,                0.45034,                0.45492,                0.82888,             0.00023109,             0.00023109,             0.00023109
                     19,                0.40507,                0.59105,                0.85152,                0.98564,                      1,                  0.995,                0.90287,                0.45009,                0.42593,                0.83423,             0.00017609,             0.00017609,             0.00017609
                     20,                 0.4015,                0.58347,                0.84061,                0.98768,                      1,                  0.995,                0.92893,                0.43098,                0.41103,                0.83579,              0.0001211,              0.0001211,              0.0001211
